Nume Ani
Facultatea de Inginerie Electricã ºi ªtiinþa Calculatoarelor,4
Facultatea de Design de produs ºi Mediu,4
Facultatea de Inginerie Mecanicã,4
Facultatea de ªtiinta ºi Ingineria Materialelor,4
Facultatea de Litere,3
Facultatea de Muzicã,4
Facultatea de ªtiinþe Economice ºi Administrarea Afacerilor,3
Facultatea de Inginerie Tehnologicã ºi Management Industrial,4
Facultatea de Drept,4
Facultatea de Matematicã ºi Informaticã,4
Facultatea de Psihologie ºi ªtiinþele Educaþiei,3
Facultatea de Alimentaþie ºi Turism,4
Facultatea de Design de Mobilier ºi Inginerie a Lemnului,4
Facultatea de Silviculturã ºi Exploatãri Forestiere,4
Facultatea de Educaþie Fizicã ºi Sporturi Montane,3
Facultatea de Medicinã,6
Facultatea de Sociologie ºi Comunicare,3
Facultatea de Construcþii,4
